eafrs.gov.br;000.147.606/0001-54;Escola Agrotécnica Federal de Rio do Sul;Santa Catarina;Rio do Sul;null;null;866902
inb.gov.br;000.322.818/0020-93;Industrias Nucleares do Brasil S/A;Rio de Janeiro;Resende;17/03/1998 19:26:24;27/01/2017 14:24:11;89158
